,site_id,product,latitude,longitude,email,start_date,end_date,kmAboveBelow,kmLeftRight,order_uid
230,site230,MOD13Q1,13.2629345181,103.4886225647,1616002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:33:27_086084459L13.2629345181L103.488622565S17L17_MOD13Q1_site230
231,site231,MOD13Q1,13.2509800336,103.8677288412,1616002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:33:30_094790191L13.2509800336L103.867728841S17L17_MOD13Q1_site231
232,site232,MOD13Q1,13.1410790141,104.1078706944,1616002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:33:33_997407353L13.1410790141L104.107870694S17L17_MOD13Q1_site232
233,site233,MOD13Q1,13.1326957399,106.0270686119,1616002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:33:37_286290732L13.1326957399L106.027068612S17L17_MOD13Q1_site233
234,site234,MOD13Q1,13.0793594427,105.2761047298,1616002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:33:40_606072769L13.0793594427L105.27610473S17L17_MOD13Q1_site234
235,site235,MOD13Q1,13.0731699204,102.963746953,1616002@student.hcmus.edu.vn,A2000049,A2018193,4,4,https://modis.ornl.gov/subsetdata/06Aug2018_11:33:43_795558094L13.0731699204L102.963746953S33L33_MOD13Q1_site235
236,site236,MOD13Q1,13.05052665,104.1021299538,1616002@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/06Aug2018_11:33:46_711627461L13.05052665L104.102129954S25L25_MOD13Q1_site236
237,site237,MOD13Q1,12.8073247975,104.8497265131,1616002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:33:49_649286870L12.8073247975L104.849726513S17L17_MOD13Q1_site237
238,site238,MOD13Q1,12.7948345505,108.4461853084,1616002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:33:54_336415679L12.7948345505L108.446185308S17L17_MOD13Q1_site238
239,site239,MOD13Q1,12.7470341193,108.4480552352,1616002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:33:57_456749742L12.7470341193L108.448055235S17L17_MOD13Q1_site239
240,site240,MOD13Q1,12.7440637362,108.1980419612,1616002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:34:01_831736603L12.7440637362L108.198041961S17L17_MOD13Q1_site240
241,site241,MOD13Q1,12.7288794421,104.67516114,1616002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:34:06_862281880L12.7288794421L104.67516114S17L17_MOD13Q1_site241
242,site242,MOD13Q1,12.7327729318,108.4879493597,1616002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:34:10_188250249L12.7327729318L108.48794936S17L17_MOD13Q1_site242
243,site243,MOD13Q1,12.7064613743,104.4871639765,1616002@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/06Aug2018_11:34:13_254813905L12.7064613743L104.487163977S25L25_MOD13Q1_site243
244,site244,MOD13Q1,12.7067888168,104.6238751443,1616002@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/06Aug2018_11:34:16_433501075L12.7067888168L104.623875144S25L25_MOD13Q1_site244
245,site245,MOD13Q1,12.6551064866,108.137451335,1616002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:34:19_553124213L12.6551064866L108.137451335S17L17_MOD13Q1_site245
246,site246,MOD13Q1,12.6169327014,104.5015650474,1616002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:34:23_132499690L12.6169327014L104.501565047S17L17_MOD13Q1_site246
247,site247,MOD13Q1,12.6083502592,108.0480285815,1616002@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/06Aug2018_11:34:26_438318579L12.6083502592L108.048028581S25L25_MOD13Q1_site247
248,site248,MOD13Q1,12.5981797803,105.2087956006,1616002@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/06Aug2018_11:34:29_826529709L12.5981797803L105.208795601S25L25_MOD13Q1_site248
249,site249,MOD13Q1,12.5850220605,105.1620764321,1616002@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/06Aug2018_11:34:33_214539120L12.5850220605L105.162076432S25L25_MOD13Q1_site249
