,site_id,product,latitude,longitude,email,start_date,end_date,kmAboveBelow,kmLeftRight,order_uid
10,site10,MOD13Q1,18.0046259318,104.0242810954,1512489@student.hcmus.edu.vn,A2000049,A2018193,7,7,https://modis.ornl.gov/subsetdata/03Aug2018_14:07:33_038030317L18.0046259318L104.024281095S57L57_MOD13Q1_site10
11,site11,MOD13Q1,17.812392977,103.1638380894,1512489@student.hcmus.edu.vn,A2000049,A2018193,6,6,https://modis.ornl.gov/subsetdata/03Aug2018_14:07:35_009727660L17.812392977L103.163838089S49L49_MOD13Q1_site11
12,site12,MOD13Q1,17.3398739907,102.5806003734,1512489@student.hcmus.edu.vn,A2000049,A2018193,6,6,https://modis.ornl.gov/subsetdata/03Aug2018_14:07:36_926154973L17.3398739907L102.580600373S49L49_MOD13Q1_site12
13,site13,MOD13Q1,17.2494923101,103.728279896,1512489@student.hcmus.edu.vn,A2000049,A2018193,9,9,https://modis.ornl.gov/subsetdata/03Aug2018_14:07:38_792707493L17.2494923101L103.728279896S73L73_MOD13Q1_site13
14,site14,MOD13Q1,17.1942521929,104.18722837,1512489@student.hcmus.edu.vn,A2000049,A2018193,11,11,https://modis.ornl.gov/subsetdata/03Aug2018_14:07:40_745065780L17.1942521929L104.18722837S89L89_MOD13Q1_site14
15,site15,MOD13Q1,16.9480337963,103.9463345868,1512489@student.hcmus.edu.vn,A2000049,A2018193,8,8,https://modis.ornl.gov/subsetdata/03Aug2018_14:07:42_499615137L16.9480337963L103.946334587S65L65_MOD13Q1_site15
16,site16,MOD13Q1,15.6315081689,101.8958195587,1512489@student.hcmus.edu.vn,A2000049,A2018193,5,5,https://modis.ornl.gov/subsetdata/03Aug2018_14:07:45_440557857L15.6315081689L101.895819559S41L41_MOD13Q1_site16
17,site17,MOD13Q1,15.2590417251,105.1246043395,1512489@student.hcmus.edu.vn,A2000049,A2018193,49,49,https://modis.ornl.gov/subsetdata/03Aug2018_14:07:48_588288251L15.2590417251L105.12460434S393L393_MOD13Q1_site17
18,site18,MOD13Q1,15.0391059384,106.7897956551,1512489@student.hcmus.edu.vn,A2000049,A2018193,8,8,https://modis.ornl.gov/subsetdata/03Aug2018_14:07:50_441221871L15.0391059384L106.789795655S65L65_MOD13Q1_site18
19,site19,MOD13Q1,14.8702810694,103.0730832869,1512489@student.hcmus.edu.vn,A2000049,A2018193,4,4,https://modis.ornl.gov/subsetdata/03Aug2018_14:07:52_392528761L14.8702810694L103.073083287S33L33_MOD13Q1_site19
20,site20,MOD13Q1,14.804224578,101.5175735812,1512489@student.hcmus.edu.vn,A2000049,A2018193,9,9,https://modis.ornl.gov/subsetdata/03Aug2018_14:07:54_232626767L14.804224578L101.517573581S73L73_MOD13Q1_site20
21,site21,MOD13Q1,14.4556595859,102.1209419156,1512489@student.hcmus.edu.vn,A2000049,A2018193,6,6,https://modis.ornl.gov/subsetdata/03Aug2018_14:07:56_075518672L14.4556595859L102.120941916S49L49_MOD13Q1_site21
22,site22,MOD13Q1,14.4016865058,102.2521576178,1512489@student.hcmus.edu.vn,A2000049,A2018193,6,6,https://modis.ornl.gov/subsetdata/03Aug2018_14:07:57_915514983L14.4016865058L102.252157618S49L49_MOD13Q1_site22
23,site23,MOD13Q1,14.2766137651,102.7700638531,1512489@student.hcmus.edu.vn,A2000049,A2018193,4,4,https://modis.ornl.gov/subsetdata/03Aug2018_14:07:59_767430309L14.2766137651L102.770063853S33L33_MOD13Q1_site23
24,site24,MOD13Q1,14.2897550321,107.851057466,1512489@student.hcmus.edu.vn,A2000049,A2018193,14,14,https://modis.ornl.gov/subsetdata/03Aug2018_14:08:01_540428162L14.2897550321L107.851057466S113L113_MOD13Q1_site24
25,site25,MOD13Q1,13.4336080444,103.7887495167,1512489@student.hcmus.edu.vn,A2000049,A2018193,5,5,https://modis.ornl.gov/subsetdata/03Aug2018_14:08:03_448608965L13.4336080444L103.788749517S41L41_MOD13Q1_site25
26,site26,MOD13Q1,12.8181941728,104.3077620002,1512489@student.hcmus.edu.vn,A2000049,A2018193,7,7,https://modis.ornl.gov/subsetdata/03Aug2018_14:08:05_299469102L12.8181941728L104.307762S57L57_MOD13Q1_site26
27,site27,MOD13Q1,12.8905436303,104.2039036487,1512489@student.hcmus.edu.vn,A2000049,A2018193,21,21,https://modis.ornl.gov/subsetdata/03Aug2018_14:08:07_539785677L12.8905436303L104.203903649S169L169_MOD13Q1_site27
28,site28,MOD13Q1,12.7798213203,104.8175465474,1512489@student.hcmus.edu.vn,A2000049,A2018193,6,6,https://modis.ornl.gov/subsetdata/03Aug2018_14:08:09_382176415L12.7798213203L104.817546547S49L49_MOD13Q1_site28
29,site29,MOD13Q1,12.4954059628,104.5511185238,1512489@student.hcmus.edu.vn,A2000049,A2018193,7,7,https://modis.ornl.gov/subsetdata/03Aug2018_14:08:11_228780518L12.4954059628L104.551118524S57L57_MOD13Q1_site29
