,site_id,product,latitude,longitude,email,start_date,end_date,kmAboveBelow,kmLeftRight,order_uid
10,site10,MYD13Q1,18.0046259318,104.0242810954,lamductan@gmail.com,A2002185,A2018185,7,7,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:02_433074998L18.0046259318L104.024281095S57L57_MYD13Q1_site10
11,site11,MYD13Q1,17.812392977,103.1638380894,lamductan@gmail.com,A2002185,A2018185,6,6,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:04_477590180L17.812392977L103.163838089S49L49_MYD13Q1_site11
12,site12,MYD13Q1,17.3398739907,102.5806003734,lamductan@gmail.com,A2002185,A2018185,6,6,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:06_428519633L17.3398739907L102.580600373S49L49_MYD13Q1_site12
13,site13,MYD13Q1,17.2494923101,103.728279896,lamductan@gmail.com,A2002185,A2018185,9,9,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:08_264953402L17.2494923101L103.728279896S73L73_MYD13Q1_site13
14,site14,MYD13Q1,17.1942521929,104.18722837,lamductan@gmail.com,A2002185,A2018185,11,11,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:10_107684244L17.1942521929L104.18722837S89L89_MYD13Q1_site14
15,site15,MYD13Q1,16.9480337963,103.9463345868,lamductan@gmail.com,A2002185,A2018185,8,8,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:11_958083775L16.9480337963L103.946334587S65L65_MYD13Q1_site15
16,site16,MYD13Q1,15.6315081689,101.8958195587,lamductan@gmail.com,A2002185,A2018185,5,5,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:13_798375507L15.6315081689L101.895819559S41L41_MYD13Q1_site16
17,site17,MYD13Q1,15.2590417251,105.1246043395,lamductan@gmail.com,A2002185,A2018185,49,49,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:16_326607440L15.2590417251L105.12460434S393L393_MYD13Q1_site17
18,site18,MYD13Q1,15.0391059384,106.7897956551,lamductan@gmail.com,A2002185,A2018185,8,8,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:18_333484774L15.0391059384L106.789795655S65L65_MYD13Q1_site18
19,site19,MYD13Q1,14.8702810694,103.0730832869,lamductan@gmail.com,A2002185,A2018185,4,4,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:20_145736399L14.8702810694L103.073083287S33L33_MYD13Q1_site19
20,site20,MYD13Q1,14.804224578,101.5175735812,lamductan@gmail.com,A2002185,A2018185,9,9,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:21_992994352L14.804224578L101.517573581S73L73_MYD13Q1_site20
21,site21,MYD13Q1,14.4556595859,102.1209419156,lamductan@gmail.com,A2002185,A2018185,6,6,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:23_834296516L14.4556595859L102.120941916S49L49_MYD13Q1_site21
22,site22,MYD13Q1,14.4016865058,102.2521576178,lamductan@gmail.com,A2002185,A2018185,6,6,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:25_681016397L14.4016865058L102.252157618S49L49_MYD13Q1_site22
23,site23,MYD13Q1,14.2766137651,102.7700638531,lamductan@gmail.com,A2002185,A2018185,4,4,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:28_236154099L14.2766137651L102.770063853S33L33_MYD13Q1_site23
24,site24,MYD13Q1,14.2897550321,107.851057466,lamductan@gmail.com,A2002185,A2018185,14,14,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:30_076370553L14.2897550321L107.851057466S113L113_MYD13Q1_site24
25,site25,MYD13Q1,13.4336080444,103.7887495167,lamductan@gmail.com,A2002185,A2018185,5,5,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:31_927549727L13.4336080444L103.788749517S41L41_MYD13Q1_site25
26,site26,MYD13Q1,12.8181941728,104.3077620002,lamductan@gmail.com,A2002185,A2018185,7,7,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:33_968913667L12.8181941728L104.307762S57L57_MYD13Q1_site26
27,site27,MYD13Q1,12.8905436303,104.2039036487,lamductan@gmail.com,A2002185,A2018185,21,21,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:35_915696978L12.8905436303L104.203903649S169L169_MYD13Q1_site27
28,site28,MYD13Q1,12.7798213203,104.8175465474,lamductan@gmail.com,A2002185,A2018185,6,6,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:38_271678387L12.7798213203L104.817546547S49L49_MYD13Q1_site28
29,site29,MYD13Q1,12.4954059628,104.5511185238,lamductan@gmail.com,A2002185,A2018185,7,7,https://modis.ornl.gov/subsetdata/03Aug2018_14:09:40_048243480L12.4954059628L104.551118524S57L57_MYD13Q1_site29
