,site_id,product,latitude,longitude,email,start_date,end_date,kmAboveBelow,kmLeftRight,order_uid
210,site210,MOD13Q1,14.487842939238918,104.57597252685706,1616001@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:31:48_806355417L14.4878429392L104.575972527S17L17_MOD13Q1_site210
211,site211,MOD13Q1,14.451642583674323,103.61195706619024,1616001@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:31:51_430590712L14.4516425837L103.611957066S17L17_MOD13Q1_site211
212,site212,MOD13Q1,14.450038607056811,105.04485197709481,1616001@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:31:55_902638785L14.4500386071L105.044851977S17L17_MOD13Q1_site212
213,site213,MOD13Q1,14.431589176710393,104.83465054711392,1616001@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:31:58_585741097L14.4315891767L104.834650547S17L17_MOD13Q1_site213
214,site214,MOD13Q1,14.427388020271415,103.79055076424387,1616001@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:01_493361475L14.4273880203L103.790550764S17L17_MOD13Q1_site214
215,site215,MOD13Q1,14.42316487649603,103.98747283535896,1616001@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:04_135688271L14.4231648765L103.987472835S17L17_MOD13Q1_site215
216,site216,MOD13Q1,14.419950706668212,105.19402549699605,1616001@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:06_704118357L14.4199507067L105.194025497S17L17_MOD13Q1_site216
217,site217,MOD13Q1,14.41527877676138,104.05338800398745,1616001@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:09_130898468L14.4152787768L104.053388004S17L17_MOD13Q1_site217
218,site218,MOD13Q1,14.406003217726449,103.93853023439628,1616001@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:13_665298614L14.4060032177L103.938530234S25L25_MOD13Q1_site218
219,site219,MOD13Q1,14.406252228376767,105.14359345771541,1616001@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:17_139239422L14.4062522284L105.143593458S25L25_MOD13Q1_site219
220,site220,MOD13Q1,14.381171374751615,101.70697054052975,1616001@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:20_832986580L14.3811713748L101.706970541S17L17_MOD13Q1_site220
221,site221,MOD13Q1,14.306050257695544,102.94326580007035,1616001@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:24_364423287L14.3060502577L102.9432658S25L25_MOD13Q1_site221
222,site222,MOD13Q1,14.29415416575469,102.87337124493887,1616001@student.hcmus.edu.vn,A2000049,A2018193,4,4,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:28_098281874L14.2941541658L102.873371245S33L33_MOD13Q1_site222
223,site223,MOD13Q1,14.288119628564628,102.44171997622084,1616001@student.hcmus.edu.vn,A2000049,A2018193,7,7,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:30_698438020L14.2881196286L102.441719976S57L57_MOD13Q1_site223
224,site224,MOD13Q1,14.15082226686869,103.90049553970395,1616001@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:34_470472586L14.1508222669L103.90049554S17L17_MOD13Q1_site224
225,site225,MOD13Q1,14.072373529345542,108.02579408915466,1616001@student.hcmus.edu.vn,A2000049,A2018193,4,4,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:38_102253421L14.0723735293L108.025794089S33L33_MOD13Q1_site225
226,site226,MOD13Q1,14.045217715533123,107.99989084035057,1616001@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:40_906170345L14.0452177155L107.99989084S17L17_MOD13Q1_site226
227,site227,MOD13Q1,14.02330949979863,102.63490287467052,1616001@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:44_846072915L14.0233094998L102.634902875S25L25_MOD13Q1_site227
228,site228,MOD13Q1,13.970286423966778,103.58565404590908,1616001@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:48_674108517L13.970286424L103.585654046S17L17_MOD13Q1_site228
229,site229,MOD13Q1,13.79701130716756,103.2978426353986,1616001@student.hcmus.edu.vn,A2000049,A2018193,4,4,https://modis.ornl.gov/subsetdata/06Aug2018_11:32:51_794925087L13.7970113072L103.297842635S33L33_MOD13Q1_site229
